        	PROG1   	START   	0000    	 
0000    	        	LDA     	ZERO    	000150
0003    	        	STA     	INDEX   	0C0021
0006    	LOOP    	LDX     	INDEX   	040021
0009    	        	LDA     	ZERO    	000150
000C    	        	STA     	ALPHA,X 	0C8024
000F    	        	LDA     	INDEX   	000021
0012    	        	ADD     	THREE   	180156
0015    	        	STA     	INDEX   	0C0021
0018    	        	COMP    	K300    	280153
001B    	        	TIX     	TWENTY  	2C0159
001E    	        	JLT     	LOOP    	380006
0021    	INDEX   	RESW    	1       	 
0024    	ALPHA   	RESW    	100     	 
0150    	ZERO    	WORD    	0       	000000
0153    	K300    	WORD    	100     	000064
0156    	THREE   	WORD    	3       	000003
0159    	TWENTY  	WORD    	20      	000014
015C    	        	END     	0000    	 
